name,age,income,total_deductions,old_bracket,new_bracket
case_1,22,182797,50000,0%,0%
case_2,27,176201,78904,0%,0%
case_3,26,222303,96074,0%,0%
case_4,27,180058,150329,0%,0%
case_5,22,175443,199049,0%,0%
case_6,27,399228,50000,0%,5%
case_7,24,395120,71038,0%,5%
case_8,24,392829,99000,0%,5%
case_9,28,409675,152951,0%,5%
case_10,28,414313,204943,0%,5%
case_11,22,610192,50000,5%,5%
case_12,28,614507,75318,5%,5%
case_13,26,613644,97839,5%,5%
case_14,24,596238,154924,0%,5%
case_15,28,613196,200007,0%,5%
case_16,24,808147,50000,20%,10%
case_17,23,797117,74766,5%,10%
case_18,23,799992,104530,5%,10%
case_19,27,806389,151299,5%,10%
case_20,23,802619,199000,5%,10%
case_21,24,1009108,50000,20%,10%
case_22,26,988806,72745,20%,10%
case_23,24,983326,95162,20%,10%
case_24,23,1014729,147737,20%,10%
case_25,28,986832,195992,20%,10%
case_26,25,1515249,50000,30%,20%
case_27,25,1513050,76576,30%,20%
case_28,27,1520729,98554,30%,20%
case_29,22,1491233,146273,30%,20%
case_30,24,1487776,204735,30%,20%
case_31,25,2009654,50000,30%,30%
case_32,27,1981186,70965,30%,30%
case_33,27,2017004,96356,30%,30%
case_34,26,1995696,152620,30%,30%
case_35,28,1987832,199894,30%,30%
case_36,24,195486,50000,0%,0%
case_37,29,198194,70669,0%,0%
case_38,27,197454,100729,0%,0%
case_39,29,200689,148188,0%,0%
case_40,26,185659,196033,0%,0%
case_41,27,383600,54966,0%,5%
case_42,28,379368,74457,0%,5%
case_43,25,389358,98343,0%,5%
case_44,29,395214,152714,0%,5%
case_45,27,402153,204327,0%,5%
case_46,25,595109,53378,5%,5%
case_47,29,606328,74790,5%,5%
case_48,26,623997,104553,5%,5%
case_49,23,583912,151610,0%,5%
case_50,23,587784,199768,0%,5%
case_51,28,800318,50000,20%,10%
case_52,24,807290,79453,5%,10%
case_53,24,796646,99177,5%,10%
case_54,27,818776,152853,5%,10%
case_55,29,824581,199251,5%,10%
case_56,23,981796,53689,20%,10%
case_57,29,988934,75710,20%,10%
case_58,29,988764,96918,20%,10%
case_59,26,997282,147905,20%,10%
case_60,28,1015988,199970,20%,10%
case_61,28,1482815,50000,30%,20%
case_62,27,1511841,70951,30%,20%
case_63,26,1509238,96111,30%,20%
case_64,26,1516896,151606,30%,20%
case_65,23,1511843,199951,30%,20%
case_66,28,2002705,50000,30%,30%
case_67,27,1983560,74196,30%,30%
case_68,24,1994083,104506,30%,30%
case_69,24,2002066,148657,30%,30%
case_70,29,1992271,199010,30%,30%
case_71,24,185133,54450,0%,0%
case_72,30,183424,73409,0%,0%
case_73,27,176199,104794,0%,0%
case_74,28,222418,153659,0%,0%
case_75,25,221106,204542,0%,0%
case_76,29,407061,50000,0%,5%
case_77,27,391487,74634,0%,5%
case_78,26,420518,96556,0%,5%
case_79,26,405853,153647,0%,5%
case_80,25,394434,202398,0%,5%
case_81,28,609704,50000,5%,5%
case_82,25,610698,77591,5%,5%
case_83,25,619012,101930,5%,5%
case_84,28,607670,146595,0%,5%
case_85,30,590278,197050,0%,5%
case_86,25,802891,51728,20%,10%
case_87,26,804258,73933,5%,10%
case_88,29,800694,98215,5%,10%
case_89,24,793611,151743,5%,10%
case_90,29,806589,202719,5%,10%
case_91,29,1016605,50000,20%,10%
case_92,24,977615,72493,20%,10%
case_93,24,978913,96578,20%,10%
case_94,30,994983,149394,20%,10%
case_95,24,996070,204084,20%,10%
case_96,27,1520777,50000,30%,20%
case_97,25,1496623,77386,30%,20%
case_98,26,1498063,99061,30%,20%
case_99,26,1505367,150801,30%,20%
case_100,25,1520467,195010,30%,20%
case_101,25,2005935,50434,30%,30%
case_102,24,1985417,74411,30%,30%
case_103,26,1997208,101461,30%,30%
case_104,28,1975964,148691,30%,30%
case_105,28,1991984,196148,30%,30%
case_106,26,221321,54870,0%,0%
case_107,31,178424,70976,0%,0%
case_108,25,182414,101100,0%,0%
case_109,30,220871,145592,0%,0%
case_110,27,198316,199522,0%,0%
case_111,27,413428,52495,0%,5%
case_112,29,423794,79304,0%,5%
case_113,31,419639,100508,0%,5%
case_114,26,422804,149311,0%,5%
case_115,28,414572,204365,0%,5%
case_116,30,590102,53448,5%,5%
case_117,30,622498,71235,5%,5%
case_118,27,611169,96107,5%,5%
case_119,29,586044,150860,0%,5%
case_120,25,612691,203198,0%,5%
case_121,27,796581,53503,5%,10%
case_122,28,803729,70240,5%,10%
case_123,29,794190,98138,5%,10%
case_124,25,781187,153671,5%,10%
case_125,29,788659,202289,5%,10%
case_126,26,1012060,50645,20%,10%
case_127,25,1023836,76349,20%,10%
case_128,25,999786,98484,20%,10%
case_129,28,988426,145117,20%,10%
case_130,28,997866,201663,20%,10%
case_131,26,1477367,50000,30%,20%
case_132,28,1483924,74937,30%,20%
case_133,29,1521584,102729,30%,20%
case_134,31,1520472,154173,30%,20%
case_135,26,1508489,199486,30%,20%
case_136,30,1983942,50000,30%,30%
case_137,29,1976144,73678,30%,30%
case_138,26,1983591,101364,30%,30%
case_139,29,2021764,153891,30%,30%
case_140,26,2019668,199823,30%,30%
case_141,31,224401,50000,0%,0%
case_142,27,218828,72544,0%,0%
case_143,26,183620,99707,0%,0%
case_144,27,220744,151077,0%,0%
case_145,32,193670,200524,0%,0%
case_146,30,421301,54545,0%,5%
case_147,26,409736,73662,0%,5%
case_148,28,409051,102136,0%,5%
case_149,26,413872,149314,0%,5%
case_150,26,382895,199879,0%,5%
case_151,26,599909,50000,5%,5%
case_152,30,611688,72876,5%,5%
case_153,26,582229,104614,0%,5%
case_154,26,601047,151243,0%,5%
case_155,26,609206,195117,0%,5%
case_156,28,824258,50000,20%,10%
case_157,28,800578,78916,5%,10%
case_158,31,788932,101727,5%,10%
case_159,29,798922,149658,5%,10%
case_160,28,801009,203562,5%,10%
case_161,32,1007333,50951,20%,10%
case_162,30,1015860,75928,20%,10%
case_163,31,991203,99311,20%,10%
case_164,31,976022,145632,20%,10%
case_165,32,1021699,196784,20%,10%
case_166,30,1499011,50000,30%,20%
case_167,30,1481424,73496,30%,20%
case_168,26,1517802,98167,30%,20%
case_169,27,1513885,151795,30%,20%
case_170,26,1490253,195378,30%,20%
case_171,32,1983224,54271,30%,30%
case_172,26,1995343,71426,30%,30%
case_173,30,1979189,103415,30%,30%
case_174,28,1991247,150670,30%,30%
case_175,28,2009216,199398,30%,30%
case_176,29,188242,50000,0%,0%
case_177,28,201636,78520,0%,0%
case_178,31,217037,98368,0%,0%
case_179,32,218612,153180,0%,0%
case_180,33,184009,201975,0%,0%
case_181,27,395584,50000,0%,5%
case_182,33,387545,74579,0%,5%
case_183,31,401529,103823,0%,5%
case_184,33,417746,148417,0%,5%
case_185,30,390330,203902,0%,5%
case_186,32,620610,50000,5%,5%
case_187,33,598723,78700,5%,5%
case_188,30,604694,104325,5%,5%
case_189,29,606716,149704,0%,5%
case_190,29,575598,203575,0%,5%
case_191,28,801675,50000,20%,10%
case_192,29,775811,75125,5%,10%
case_193,32,776179,97975,5%,10%
case_194,30,793607,152313,5%,10%
case_195,28,785437,199143,5%,10%
case_196,31,992433,50000,20%,10%
case_197,30,1023454,72762,20%,10%
case_198,29,978942,104923,20%,10%
case_199,33,1021263,154516,20%,10%
case_200,31,994760,201600,20%,10%
case_201,32,1477802,53007,30%,20%
case_202,31,1477479,70495,30%,20%
case_203,27,1491557,101902,30%,20%
case_204,27,1487591,153605,30%,20%
case_205,32,1510277,199664,30%,20%
case_206,28,1988322,50000,30%,30%
case_207,33,1998138,76057,30%,30%
case_208,28,1977410,97482,30%,30%
case_209,31,1977078,148199,30%,30%
case_210,33,2017365,197577,30%,30%
case_211,33,182811,50000,0%,0%
case_212,28,187302,71908,0%,0%
case_213,31,213505,98743,0%,0%
case_214,33,208799,145351,0%,0%
case_215,33,181245,201167,0%,0%
case_216,34,418924,53798,0%,5%
case_217,31,419529,71252,0%,5%
case_218,31,378633,100989,0%,5%
case_219,34,394207,146086,0%,5%
case_220,31,417022,199808,0%,5%
case_221,34,603870,50345,5%,5%
case_222,30,596507,76688,5%,5%
case_223,28,599580,96973,5%,5%
case_224,31,606541,149739,0%,5%
case_225,30,604271,197554,0%,5%
case_226,30,821235,50466,20%,10%
case_227,30,793274,77931,5%,10%
case_228,32,813943,95989,5%,10%
case_229,31,787582,149532,5%,10%
case_230,32,781315,203175,5%,10%
case_231,29,997201,50000,20%,10%
case_232,33,976886,77815,20%,10%
case_233,33,993144,95010,20%,10%
case_234,32,976378,152992,20%,10%
case_235,33,1011663,198302,20%,10%
case_236,30,1520007,53342,30%,20%
case_237,29,1514053,70836,30%,20%
case_238,28,1504215,96636,30%,20%
case_239,32,1480244,154389,30%,20%
case_240,31,1512722,202259,30%,20%
case_241,32,2013455,50000,30%,30%
case_242,32,1984519,70423,30%,30%
case_243,29,2010965,103488,30%,30%
case_244,34,1994459,146481,30%,30%
case_245,30,2016142,196854,30%,30%
case_246,32,182835,54186,0%,0%
case_247,30,220905,79320,0%,0%
case_248,34,219254,95256,0%,0%
case_249,32,220584,146244,0%,0%
case_250,35,224834,198440,0%,0%
case_251,33,391125,52546,0%,5%
case_252,29,407121,72225,0%,5%
case_253,29,406849,96050,0%,5%
case_254,33,404705,147642,0%,5%
case_255,31,422263,199957,0%,5%
case_256,35,593105,50000,5%,5%
case_257,34,585879,78751,5%,5%
case_258,29,608206,97999,5%,5%
case_259,33,577869,153570,0%,5%
case_260,33,580664,199188,0%,5%
case_261,30,815874,50000,20%,10%
case_262,34,795598,78886,5%,10%
case_263,30,816362,95987,5%,10%
case_264,35,776308,147715,5%,10%
case_265,34,793881,201650,5%,10%
case_266,29,1006155,50000,20%,10%
case_267,31,987232,70846,20%,10%
case_268,32,1005686,103084,20%,10%
case_269,35,1007286,146525,20%,10%
case_270,35,1016858,198354,20%,10%
case_271,32,1523239,54160,30%,20%
case_272,34,1498319,72472,30%,20%
case_273,30,1500748,104541,30%,20%
case_274,33,1483916,149005,30%,20%
case_275,33,1513713,197772,30%,20%
case_276,32,2010090,50000,30%,30%
case_277,31,2001092,73250,30%,30%
case_278,33,1981263,95519,30%,30%
case_279,29,1987982,150544,30%,30%
case_280,32,2009889,198494,30%,30%
case_281,34,222945,50000,0%,0%
case_282,33,193534,75302,0%,0%
case_283,31,182284,102282,0%,0%
case_284,30,189605,149986,0%,0%
case_285,36,221207,199856,0%,0%
case_286,32,422343,51518,0%,5%
case_287,32,414356,77143,0%,5%
case_288,35,377593,98143,0%,5%
case_289,33,402738,145871,0%,5%
case_290,35,385831,199964,0%,5%
case_291,36,593494,50000,5%,5%
case_292,33,581252,79646,5%,5%
case_293,30,602524,104464,0%,5%
case_294,34,604059,154590,0%,5%
case_295,32,585885,201660,0%,5%
case_296,30,784826,50000,5%,10%
case_297,36,787918,77649,5%,10%
case_298,33,801712,102006,5%,10%
case_299,30,811874,151326,5%,10%
case_300,32,804245,200770,5%,10%
case_301,35,1024968,50000,20%,10%
case_302,34,1013249,78917,20%,10%
case_303,32,1016013,98352,20%,10%
case_304,36,987504,145996,20%,10%
case_305,30,1015185,203513,20%,10%
case_306,33,1515364,54876,30%,20%
case_307,36,1489211,70419,30%,20%
case_308,33,1506617,99574,30%,20%
case_309,31,1513309,154735,30%,20%
case_310,35,1508086,204020,30%,20%
case_311,34,1993297,50000,30%,30%
case_312,36,1988471,70124,30%,30%
case_313,35,1975137,97452,30%,30%
case_314,36,1997950,151205,30%,30%
case_315,34,1987281,200499,30%,30%
case_316,32,202970,50000,0%,0%
case_317,31,181790,72647,0%,0%
case_318,35,216504,96799,0%,0%
case_319,37,194369,145514,0%,0%
case_320,34,198507,204904,0%,0%
case_321,32,408921,50000,0%,5%
case_322,31,383134,71097,0%,5%
case_323,36,423012,102506,0%,5%
case_324,35,377577,154369,0%,5%
case_325,37,402743,203221,0%,5%
case_326,31,612743,50000,5%,5%
case_327,31,590134,72842,5%,5%
case_328,33,611588,101374,5%,5%
case_329,35,601635,152454,0%,5%
case_330,32,583482,198006,0%,5%
case_331,32,784638,50000,5%,10%
case_332,33,823028,78302,5%,10%
case_333,36,790214,95015,5%,10%
case_334,37,778924,149197,5%,10%
case_335,33,776840,200084,5%,10%
case_336,37,1014550,50294,20%,10%
case_337,33,997026,74287,20%,10%
case_338,34,988210,101468,20%,10%
case_339,34,1022625,146204,20%,10%
case_340,35,1022497,197158,20%,10%
case_341,36,1513050,52926,30%,20%
case_342,32,1484288,72457,30%,20%
case_343,36,1522398,98756,30%,20%
case_344,35,1487388,147531,30%,20%
case_345,31,1481718,200376,30%,20%
case_346,31,1981546,50000,30%,30%
case_347,36,1987269,76325,30%,30%
case_348,32,2015677,96055,30%,30%
case_349,37,2001711,145419,30%,30%
case_350,32,2015113,201848,30%,30%
case_351,38,202081,50000,0%,0%
case_352,35,200625,74133,0%,0%
case_353,37,177862,101212,0%,0%
case_354,32,186433,151787,0%,0%
case_355,35,176194,200682,0%,0%
case_356,35,379737,50000,0%,5%
case_357,37,404799,73288,0%,5%
case_358,38,397528,102242,0%,5%
case_359,36,417826,150537,0%,5%
case_360,35,389519,196416,0%,5%
case_361,33,614683,52841,5%,5%
case_362,34,615804,74206,5%,5%
case_363,36,615611,96739,5%,5%
case_364,37,609253,151066,0%,5%
case_365,36,581332,204626,0%,5%
case_366,36,803212,50000,20%,10%
case_367,38,779407,75730,5%,10%
case_368,33,777963,96859,5%,10%
case_369,38,807035,151566,5%,10%
case_370,34,807751,202493,5%,10%
case_371,32,984127,50000,20%,10%
case_372,35,1006306,73179,20%,10%
case_373,34,998571,96489,20%,10%
case_374,37,985622,145488,20%,10%
case_375,37,1009215,201563,20%,10%
case_376,34,1479309,52978,30%,20%
case_377,33,1490907,77453,30%,20%
case_378,35,1496279,96865,30%,20%
case_379,36,1494214,146798,30%,20%
case_380,36,1480280,197170,30%,20%
case_381,34,1994638,50475,30%,30%
case_382,37,1984193,71812,30%,30%
case_383,32,2003755,101458,30%,30%
case_384,33,2002207,149021,30%,30%
case_385,36,2005369,196935,30%,30%
case_386,39,190124,50000,0%,0%
case_387,35,181048,79002,0%,0%
case_388,33,204240,101998,0%,0%
case_389,37,205052,147085,0%,0%
case_390,39,210522,195384,0%,0%
case_391,33,376853,52950,0%,5%
case_392,39,411047,70276,0%,5%
case_393,39,390805,98823,0%,5%
case_394,35,415526,147830,0%,5%
case_395,35,381006,202028,0%,5%
case_396,34,583491,50229,5%,5%
case_397,37,605656,76335,5%,5%
case_398,34,609272,103737,5%,5%
case_399,34,582799,150691,0%,5%
case_400,36,603665,201126,0%,5%
case_401,39,823543,54611,20%,10%
case_402,39,800427,71633,5%,10%
case_403,38,785141,102932,5%,10%
case_404,37,799989,152669,5%,10%
case_405,35,799002,201680,5%,10%
case_406,35,1019318,50000,20%,10%
case_407,33,978706,78400,20%,10%
case_408,34,989405,96798,20%,10%
case_409,35,1020686,153719,20%,10%
case_410,34,977346,196901,20%,10%
case_411,36,1514368,50000,30%,20%
case_412,33,1510153,71758,30%,20%
case_413,34,1495811,98552,30%,20%
case_414,36,1481157,149928,30%,20%
case_415,36,1513321,196285,30%,20%
case_416,36,2012836,51030,30%,30%
case_417,36,2015621,71706,30%,30%
