age,income,total_deductions,old_tax,new_tax
24,178149,100000,0.0,0.0
22,223207,120414,0.0,0.0
25,179416,147136,0.0,0.0
26,215488,196765,0.0,0.0
24,205854,245885,0.0,0.0
26,412167,100000,0.0,3108.3500000000004
27,405678,120074,0.0,2783.9
24,424667,153314,0.0,3733.3500000000004
25,394235,198766,0.0,2211.75
25,415356,245154,0.0,3267.8
22,615461,101440,701.0500000000001,13273.050000000001
22,588240,128200,0.0,11912.0
24,606968,151950,0.0,12848.400000000001
24,582654,203374,0.0,11632.7
22,577523,245376,0.0,11376.150000000001
24,793668,100000,9683.4,24366.8
25,791337,121978,8467.95,24133.7
23,776722,149459,6363.150000000001,22672.2
28,808058,203316,5237.1,25805.8
23,785390,253725,1583.25,23539.0
22,1009246,104317,43485.8,45924.600000000006
24,990867,125043,35664.8,44086.7
24,981060,154577,27796.6,43106.0
28,995040,197013,22105.4,44504.0
22,981336,250075,11563.050000000001,43133.600000000006
22,1514468,101729,161321.7,132893.6
23,1501106,124982,150337.2,130221.20000000001
26,1490838,151822,139204.8,128167.6
26,1491415,201135,124584.0,128283.0
23,1499775,253642,111726.6,129955.0
25,1990107,100000,304532.1,272032.1
27,1978450,120629,294846.3,268535.0
22,1978345,147363,286794.6,268503.5
27,2023272,197926,285103.8,281981.6
27,2013541,254615,265177.8,279062.3
26,197711,102086,0.0,0.0
27,188651,127640,0.0,0.0
25,213398,152797,0.0,0.0
25,175367,203997,0.0,0.0
27,186999,254911,0.0,0.0
24,419962,100000,0.0,3498.1000000000004
28,420890,126734,0.0,3544.5
23,392830,146062,0.0,2141.5
27,409949,196375,0.0,2997.4500000000003
28,416906,250030,0.0,3345.3
24,583725,100000,0.0,11686.25
28,624154,126272,0.0,13707.7
24,603125,148897,0.0,12656.25
29,598356,197739,0.0,12417.800000000001
28,615266,246253,0.0,13263.300000000001
29,810975,101856,10455.95,26097.5
29,814813,123613,9560.0,26481.3
27,784026,153841,6509.25,23402.6
26,775490,198206,3864.2000000000003,22549.0
23,812913,247451,3273.1000000000004,26291.3
25,1018854,100000,46270.8,46885.4
25,988797,120420,36175.4,43879.7
24,995951,148327,32024.8,44595.100000000006
23,990914,199147,20853.4,44091.4
23,1009933,254134,13659.8,45993.3
29,1504857,100000,158957.1,130971.4
29,1487382,124987,146218.5,127476.4
24,1475111,149888,135066.9,125022.20000000001
27,1493875,203575,124590.0,128775.0
23,1488060,245879,110936.20000000001,127612.0
28,1975060,100595,299839.5,267518.0
26,1988090,121534,297466.8,271427.0
26,2011074,150295,295733.69999999995,278322.19999999995
24,2016208,199963,282373.5,279862.4
27,1988619,252087,258459.6,271585.69999999995
27,186160,100034,0.0,0.0
27,179434,129779,0.0,0.0
24,222410,154062,0.0,0.0
26,194637,201804,0.0,0.0
27,190741,250001,0.0,0.0
29,394384,101537,0.0,2219.2000000000003
29,392586,123750,0.0,2129.3
27,387048,149688,0.0,1852.4
26,389330,197010,0.0,1966.5
25,400837,245342,0.0,2541.8500000000004
29,588572,101416,0.0,11928.6
26,607644,129269,0.0,12882.2
26,617645,152035,0.0,13382.25
30,620728,195967,0.0,13536.400000000001
24,585852,252697,0.0,11792.6
25,812555,100000,10627.75,26255.5
25,779354,124562,7739.6,22935.4
29,776478,152908,6178.5,22647.8
28,823779,203285,6024.700000000001,27377.9
27,775673,245644,1501.45,22567.3
26,983731,104155,38415.2,43373.100000000006
27,1018364,123924,41388.0,46836.4
28,989263,148171,30718.4,43926.3
28,1012060,198797,25152.6,46206.0
28,1005521,245216,14561.0,45552.100000000006
25,1507833,103102,158919.3,131566.6
29,1478549,127437,142833.6,125709.8
29,1489244,145461,140634.9,127848.8
25,1505376,201239,128741.1,131075.2
27,1486913,246714,110539.8,127382.6
30,2008047,100000,309914.1,277414.1
29,1987030,121302,297218.4,271109.0
26,2017108,146949,298547.69999999995,280132.4
30,2012750,204471,279983.69999999995,278825.0
26,1998602,250384,261965.4,274580.6
31,216525,100000,0.0,0.0
29,222830,122460,0.0,0.0
26,175734,152593,0.0,0.0
31,213081,204603,0.0,0.0
28,197742,252943,0.0,0.0
26,384181,104034,0.0,1709.0500000000002
27,420826,121568,0.0,3541.3
29,399539,154804,0.0,2476.9500000000003
28,405135,198737,0.0,2756.75
31,417710,249144,0.0,3385.5
28,589234,100000,0.0,11961.7
28,610589,125922,0.0,13029.45
28,596261,148463,0.0,12313.050000000001
28,612526,199904,0.0,13126.300000000001
31,624182,248196,0.0,13709.1
31,788862,100000,9443.1,23886.2
29,822772,126748,9801.2,27277.2
30,779697,145166,6726.55,22969.7
28,791857,200777,4554.0,24185.7
26,804496,252051,2622.25,25449.6
27,994030,101639,40978.2,44403.0
29,986139,126538,34420.2,43613.9
28,987856,147042,30662.8,43785.600000000006
28,1007108,204379,23045.800000000003,45710.8
29,1015163,249270,15678.6,46516.3
26,1513538,103234,160591.2,132707.6
30,1513405,126723,153504.6,132681.0
