name,age,income,total_deductions,old_bracket,new_bracket
case_1,24,216681,50000,0%,0%
case_2,24,185561,79153,0%,0%
case_3,25,217221,104852,0%,0%
case_4,27,186402,148958,0%,0%
case_5,24,190628,203362,0%,0%
case_6,28,393538,50000,0%,5%
case_7,22,424924,73202,0%,5%
case_8,24,413674,100323,0%,5%
case_9,22,405969,150338,0%,5%
case_10,26,390544,196051,0%,5%
case_11,26,584760,54812,5%,5%
case_12,24,606531,73142,5%,5%
case_13,22,589308,97941,0%,5%
case_14,22,607846,145978,0%,5%
case_15,26,607184,203870,0%,5%
case_16,25,820802,51745,20%,10%
case_17,22,790458,72466,5%,10%
case_18,28,779167,101026,5%,10%
case_19,25,797139,150036,5%,10%
case_20,24,778907,202589,5%,10%
case_21,27,1022118,50182,20%,10%
case_22,27,979845,76947,20%,10%
case_23,27,996401,99008,20%,10%
case_24,27,1010891,147744,20%,10%
case_25,28,1008380,197161,20%,10%
case_26,28,1499798,51038,30%,20%
case_27,27,1478743,75608,30%,20%
case_28,26,1505353,95414,30%,20%
case_29,24,1493856,153934,30%,20%
case_30,25,1489399,196395,30%,20%
case_31,28,2003050,53504,30%,30%
case_32,23,1986638,76710,30%,30%
case_33,28,1991661,99796,30%,30%
case_34,28,2018623,146496,30%,30%
case_35,24,2006092,200075,30%,30%
case_36,26,210369,50000,0%,0%
case_37,24,181531,72188,0%,0%
case_38,24,179947,102777,0%,0%
case_39,25,224010,148776,0%,0%
case_40,29,210651,203902,0%,0%
case_41,25,382389,50000,0%,5%
case_42,26,405039,71877,0%,5%
case_43,29,378682,100211,0%,5%
case_44,27,409860,153599,0%,5%
case_45,26,401710,195951,0%,5%
case_46,27,579324,50061,5%,5%
case_47,24,588320,73929,5%,5%
case_48,29,584369,95784,0%,5%
case_49,26,580810,149916,0%,5%
case_50,25,608804,202955,0%,5%
case_51,24,781795,50000,5%,10%
case_52,25,797412,70151,5%,10%
case_53,29,818559,98050,5%,10%
case_54,23,779971,154907,5%,10%
case_55,28,792578,196575,5%,10%
case_56,25,987317,50000,20%,10%
case_57,25,1006294,77228,20%,10%
case_58,27,979438,103884,20%,10%
case_59,28,1005892,153374,20%,10%
case_60,26,977697,198086,20%,10%
case_61,29,1517677,50982,30%,20%
case_62,29,1477600,74267,30%,20%
case_63,23,1514926,102817,30%,20%
case_64,27,1480743,153502,30%,20%
case_65,25,1513505,202510,30%,20%
case_66,27,1979647,50000,30%,30%
case_67,26,1983782,74791,30%,30%
case_68,28,2010894,96941,30%,30%
case_69,25,2017644,153420,30%,30%
case_70,25,1995162,197334,30%,30%
case_71,27,184691,50000,0%,0%
case_72,29,202043,77455,0%,0%
case_73,30,183952,102323,0%,0%
case_74,24,195427,146629,0%,0%
case_75,26,220852,195365,0%,0%
case_76,28,384877,50000,0%,5%
case_77,27,404489,75575,0%,5%
case_78,29,403997,99077,0%,5%
case_79,28,394930,152761,0%,5%
case_80,28,411620,200692,0%,5%
case_81,26,607921,51154,5%,5%
case_82,27,623167,70572,5%,5%
case_83,24,601951,104454,0%,5%
case_84,29,616608,146469,0%,5%
case_85,25,604400,195695,0%,5%
case_86,30,819122,50000,20%,10%
case_87,28,795273,75574,5%,10%
case_88,30,798691,104962,5%,10%
case_89,24,810004,147094,5%,10%
case_90,28,814667,196315,5%,10%
case_91,25,978178,50000,20%,10%
case_92,26,999256,71700,20%,10%
case_93,30,986266,98636,20%,10%
case_94,28,995863,148799,20%,10%
case_95,24,1000296,201709,20%,10%
case_96,28,1522423,50000,30%,20%
case_97,29,1480532,76256,30%,20%
case_98,29,1496638,98887,30%,20%
case_99,27,1514659,153571,30%,20%
case_100,28,1522897,200378,30%,20%
case_101,25,2016411,52592,30%,30%
case_102,28,2018509,78908,30%,30%
case_103,27,1998280,103541,30%,30%
case_104,27,1978582,151365,30%,30%
case_105,29,1989510,197674,30%,30%
case_106,26,214157,51439,0%,0%
case_107,28,184182,72965,0%,0%
case_108,31,224230,99789,0%,0%
case_109,29,177487,154089,0%,0%
case_110,28,207543,198786,0%,0%
case_111,28,413876,53577,0%,5%
case_112,26,395558,72286,0%,5%
case_113,26,394729,100796,0%,5%
case_114,31,423104,149282,0%,5%
case_115,25,418499,199228,0%,5%
case_116,29,592606,51829,5%,5%
case_117,30,576976,76545,5%,5%
case_118,30,597285,99268,0%,5%
case_119,31,575475,153110,0%,5%
case_120,29,622110,200919,0%,5%
case_121,25,786991,50000,5%,10%
case_122,31,804326,78897,5%,10%
case_123,29,814637,101659,5%,10%
case_124,25,799548,149754,5%,10%
case_125,26,816960,203524,5%,10%
case_126,26,981824,50000,20%,10%
case_127,29,1024427,74365,20%,10%
case_128,25,1016352,96120,20%,10%
case_129,27,1006990,148466,20%,10%
case_130,29,993059,201041,20%,10%
case_131,27,1505540,51094,30%,20%
case_132,27,1488734,78791,30%,20%
case_133,31,1479464,99495,30%,20%
case_134,29,1504993,145877,30%,20%
case_135,25,1487301,197047,30%,20%
case_136,28,2017290,54898,30%,30%
case_137,25,1991698,79351,30%,30%
case_138,25,1993287,99874,30%,30%
case_139,26,2004485,146681,30%,30%
case_140,25,1980483,202319,30%,30%
case_141,30,196361,50000,0%,0%
case_142,26,219017,78582,0%,0%
case_143,31,207474,103491,0%,0%
case_144,27,175441,152495,0%,0%
case_145,31,192770,202387,0%,0%
case_146,27,405866,50000,0%,5%
case_147,30,377755,74477,0%,5%
case_148,28,393837,101522,0%,5%
case_149,31,422983,147021,0%,5%
case_150,31,408968,195401,0%,5%
case_151,31,609564,50000,5%,5%
case_152,26,620604,73299,5%,5%
case_153,32,599428,102203,0%,5%
case_154,28,604943,146602,0%,5%
case_155,31,602230,198665,0%,5%
case_156,27,809129,50000,20%,10%
case_157,27,806383,74184,5%,10%
case_158,27,810037,100632,5%,10%
case_159,31,791350,154417,5%,10%
case_160,27,812810,195212,5%,10%
case_161,31,1000039,50000,20%,10%
case_162,29,1024958,70490,20%,10%
case_163,31,1010439,101207,20%,10%
case_164,27,997347,150218,20%,10%
case_165,28,1007458,203589,20%,10%
case_166,27,1478708,50000,30%,20%
